Trial;ImpulseLeft(FX);LoadingRateLeft(FX);ImpactPeakForceLeft(FX);TimeImpactPeakForceLeft(FX);ImpulseRight(FX);LoadingRateRight(FX);ImpactPeakForceRight(FX);TimeImpactPeakForceRight(FX);ImpulseLeft(FY);LoadingRtaeLeft(FY);ImpactPeakForceLeft(FY);TimeImpactPeakForceLeft(FY);ImpulseRight(FY);LoadingRateRight(FY);ImpactPeakForceRight(FY);TimeImpactPeakForceRight(FY);ImpulseLeft(FZ);LoadingRateLeft(FZ);ImpactPeakForceLeft(FZ);TimeImpactPeakForceLeft(FZ);ImpulseRight(FZ);LoadingRateRight(FZ);ImpactPeakForceRight(FZ);TimeImpactPeakForceRight(FZ)
1;-6.193799367752558;-108.87804304363166;-2.1775608608726333;0.02;0.03;99.00211689991767;2.9700635069975303;0.03;-6.607373335999059;90.08949782429733;2.7026849347289197;0.03;0.04;29.906385981418328;1.196255439256733;0.04;56.11327417382101;1246.8381747618487;74.81029048571092;0.06;0.13;1021.5145785650317;2.9700635069975303;0.13
2;-5.973312198341762;-78.12918969775374;-1.5625837939550746;0.02;0.02;185.70075267552627;3.7140150535105256;0.02;-5.90234466485946;93.26523971931475;2.7979571915794423;0.03;0.03;37.92187855266768;1.1376563565800306;0.03;53.2818076502411;1107.261554745384;22.145231094907682;0.02;0.11;1121.8585953620648;3.7140150535105256;0.11
3;-6.259469983535223;-77.57011250931045;-2.3271033752793135;0.03;0.03;149.52953859422163;4.485886157826649;0.03;-6.558307724332589;19.958061860519816;0.7983224744207926;0.04;0.05;37.08185346348348;1.854092673174174;0.05;52.86800493943317;1014.5611842878982;81.16489474303187;0.08;0.13;1153.46348347642;4.485886157826649;0.13
4;-6.158917927202165;-75.29377866635306;-1.5058755733270612;0.02;0.03;130.5810498255518;3.917431494766553;0.03;-6.579091414794777;76.49582500294014;2.294874750088204;0.03;0.05;33.12699047395037;1.6563495236975188;0.05;53.726812707279784;1099.2024873574035;87.93619898859227;0.08;0.15;828.5891254067193;3.917431494766553;0.15
5;-6.202296471245444;-103.49270845583911;-2.069854169116782;0.02;0.06;107.04819867497746;6.422891920498648;0.06;-6.415700282253321;172.34450586067663;5.170335175820299;0.03;0.04;80.56600611548868;3.2226402446195466;0.04;52.05384520169352;1311.5053510525695;78.69032106315417;0.06;0.13;1044.6566370240369;6.422891920498648;0.13
6;-6.002329637774904;-85.61113724567801;-1.71222274491356;0.02;0.1;123.02034576031993;12.302034576031991;0.1;-6.243559484887688;52.51464189109727;1.5754392567329178;0.03;0.02;123.64971186640011;2.472994237328002;0.02;52.51901842878984;1098.8432023991531;87.90745619193225;0.08;0.11;1427.77415457646;12.302034576031991;0.11
7;-5.6955259061507695;-16.9814967266455;-0.509444901799365;0.03;0.03;113.2822141205065;3.398466423615195;0.03;-6.758028771962836;44.736034340820886;1.7894413736328354;0.04;0.04;45.98121251323062;1.839248500529225;0.04;54.247017964247945;1085.8123603434083;86.86498882747267;0.08;0.12;1149.2688854913952;3.398466423615195;0.12
8;-0.6419097730212866;-89.90209337880748;-1.7980418675761496;0.02;0.03;138.51871888353128;4.155561566505939;0.03;-0.8624828448782783;10.179348465247559;0.3053804539574268;0.03;0.04;51.69919440197579;2.067967776079031;0.04;5.336000964365518;;;;0.12;1069.271629620918;4.155561566505939;0.12
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;=AVERAGE(B2:B9);=AVERAGE(C2:C9);=AVERAGE(D2:D9);=AVERAGE(E2:E9);=AVERAGE(F2:F9);=AVERAGE(G2:G9);=AVERAGE(H2: H9);=AVERAGE(I2: I9);=AVERAGE(J2:J9);=AVERAGE(K2:K9);=AVERAGE(L2:L9);=AVERAGE(M2:M9);=AVERAGE(N2:N9);=AVERAGE(O2:O9);=AVERAGE(P2:P9);=AVERAGE(Q2:Q9);=AVERAGE(R2:R9);=AVERAGE(S2:S9);=AVERAGE(T2:T9);=AVERAGE(U2:U9);=AVERAGE(V2:V9);=AVERAGE(W2:W9);=AVERAGE(X2:X9);=AVERAGE(Y2:Y9);
