Step,ImpulseLeftFoot(FX),ImpulseLeftFoot(FY),ImpulseLeftFoot(FZ),ImpulseRightFoot(FX),ImpulseRightFoot(FY),ImpulseRightFoot(FZ)
1,-93.14064579025016,-86.66407029974994,651.9485293687497,52.23148677249997,0.2855783495000005,392.41650505624995
2,-103.06107018308765,-80.96000508212505,625.7838921874999,94.33030146308752,-3.455930540324993,727.0980525562493
3,-126.46686414375002,-68.95535238590003,608.1837080500001,131.39648429813727,-3.3151850151250013,737.4875768812509
4,-92.18731977775016,-59.28424383575002,604.8992513687499,107.16019089000007,-17.17345797675001,726.2174730312502
5,-111.97358179624996,-76.29714236925003,587.163745068749,92.68525404525006,-8.318879845799993,663.8768425749993
6,-111.48945062225008,-61.57153804787505,535.2237118125007,135.08383969762514,-2.0342655642964993,711.5130103062495
7,-97.91545269837495,-63.70191492000003,571.5187183250003,104.71807969149988,-11.058905951552504,735.9667933875002
8,-88.15093595950009,-54.12777397174999,532.3334651562503,92.61081561874998,-10.160502903412496,693.9010015375001
,,,,,,
,,,,,,
,=AVERAGE(B2:B9),=AVERAGE(C2:C9),=AVERAGE(D2:D9),=AVERAGE(E2:E9),=AVERAGE(F2:F9),=AVERAGE(G2:G9)
